City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,peace river,56.2501,-117.286,-7.81,82,99,4.66,CA,1675044031
301,christchurch,-43.5333,172.6333,26.34,62,100,8.23,NZ,1675043840
302,barmer,25.75,71.3833,11.48,41,0,2.06,IN,1675044110
303,listowel,52.4464,-9.485,6.84,69,100,5.13,IE,1675044111
304,vardo,70.3705,31.1107,-0.01,86,72,8.23,NO,1675044111
305,kavieng,-2.5744,150.7967,29.38,69,28,4.32,PG,1675044111
306,waddan,29.1614,16.139,7.31,37,0,1.12,LY,1675044112
307,macia,-25.0269,33.0989,22.78,80,96,4.12,MZ,1675044112
308,lucapa,-8.4192,20.7447,16.86,98,92,1.37,AO,1675044112
309,khatanga,71.9667,102.5,-41.81,100,70,1.19,RU,1675044113
310,envira,-7.3,-70.2167,22.3,94,100,0.82,BR,1675044113
311,thinadhoo,0.5333,72.9333,27.05,75,97,2.64,MV,1675044072
312,leh,34.1667,77.5833,-7.88,96,100,0.76,IN,1675044113
313,buala,-8.145,159.5921,26.28,87,100,2.95,SB,1675044114
314,weligama,5.9667,80.4167,22.98,81,66,1.6,LK,1675044114
315,maneadero,31.7167,-116.5667,13.39,70,94,1.79,MX,1675044114
316,paracale,14.2804,122.7881,23.95,90,100,7.39,PH,1675044115
317,gimli,50.6336,-96.9907,-28.19,99,92,2.58,CA,1675044115
318,comodoro rivadavia,-45.8667,-67.5,20.92,56,0,1.03,AR,1675043946
319,podyuga,61.095,40.8647,-5.52,93,100,4.19,RU,1675044116
320,banda aceh,5.5577,95.3222,26.41,83,30,3.25,ID,1675044116
321,beni,0.5,29.4667,16.55,88,37,1.08,CD,1675044117
322,kumukh,42.1704,47.1161,-3.94,66,97,1.74,RU,1675044117
323,grand gaube,-20.0064,57.6608,25.21,89,100,2.08,MU,1675043982
324,suriapet,17.15,79.6167,19.87,91,17,1.99,IN,1675044117
325,kahramanmaras,38.0,37.0,-0.21,99,100,1.02,TR,1675044118
326,sioux lookout,50.1001,-91.917,-26.29,98,100,2.1,CA,1675044118
327,pevek,69.7008,170.3133,-11.62,87,100,2.47,RU,1675044118
328,sur,22.5667,59.5289,17.85,65,0,1.14,OM,1675044119
329,soyo,-6.1349,12.3689,26.14,82,100,1.06,AO,1675044120
